year,city,country,avg_temp
1808,Damascus,Syria,14.91
1809,Damascus,Syria,17.04
1810,Damascus,Syria,17.09
1811,Damascus,Syria,17.12
1812,Damascus,Syria,17.07
1813,Damascus,Syria,17.62
1814,Damascus,Syria,17.68
1815,Damascus,Syria,17.42
1816,Damascus,Syria,16.97
1817,Damascus,Syria,17.15
1818,Damascus,Syria,17.99
1819,Damascus,Syria,17.50
1820,Damascus,Syria,17.67
1821,Damascus,Syria,17.77
1822,Damascus,Syria,17.66
1823,Damascus,Syria,17.96
1824,Damascus,Syria,18.75
1825,Damascus,Syria,18.09
1826,Damascus,Syria,18.01
1827,Damascus,Syria,18.88
1828,Damascus,Syria,18.08
1829,Damascus,Syria,18.05
1830,Damascus,Syria,18.36
1831,Damascus,Syria,17.66
1832,Damascus,Syria,17.08
1833,Damascus,Syria,17.93
1834,Damascus,Syria,17.79
1835,Damascus,Syria,17.33
1836,Damascus,Syria,17.77
1837,Damascus,Syria,17.46
1838,Damascus,Syria,17.26
1839,Damascus,Syria,17.53
1840,Damascus,Syria,17.57
1841,Damascus,Syria,18.05
1842,Damascus,Syria,18.01
1843,Damascus,Syria,17.95
1844,Damascus,Syria,17.81
1845,Damascus,Syria,18.02
1846,Damascus,Syria,18.69
1847,Damascus,Syria,18.22
1848,Damascus,Syria,18.12
1849,Damascus,Syria,18.14
1850,Damascus,Syria,17.56
1851,Damascus,Syria,18.46
1852,Damascus,Syria,18.24
1853,Damascus,Syria,18.75
1854,Damascus,Syria,17.79
1855,Damascus,Syria,18.21
1856,Damascus,Syria,17.71
1857,Damascus,Syria,17.38
1858,Damascus,Syria,18.03
1859,Damascus,Syria,18.20
1860,Damascus,Syria,18.59
1861,Damascus,Syria,17.03
1862,Damascus,Syria,17.00
1863,Damascus,Syria,17.55
1864,Damascus,Syria,18.32
1865,Damascus,Syria,18.66
1866,Damascus,Syria,18.48
1867,Damascus,Syria,18.49
1868,Damascus,Syria,18.02
1869,Damascus,Syria,18.65
1870,Damascus,Syria,18.37
1871,Damascus,Syria,17.60
1872,Damascus,Syria,18.38
1873,Damascus,Syria,18.73
1874,Damascus,Syria,17.92
1875,Damascus,Syria,16.97
1876,Damascus,Syria,18.46
1877,Damascus,Syria,18.87
1878,Damascus,Syria,18.76
1879,Damascus,Syria,19.05
1880,Damascus,Syria,17.82
1881,Damascus,Syria,18.42
1882,Damascus,Syria,17.66
1883,Damascus,Syria,18.15
1884,Damascus,Syria,17.67
1885,Damascus,Syria,18.56
1886,Damascus,Syria,17.89
1887,Damascus,Syria,18.48
1888,Damascus,Syria,18.40
1889,Damascus,Syria,18.59
1890,Damascus,Syria,18.40
1891,Damascus,Syria,18.34
1892,Damascus,Syria,18.60
1893,Damascus,Syria,17.91
1894,Damascus,Syria,17.55
1895,Damascus,Syria,17.99
1896,Damascus,Syria,18.18
1897,Damascus,Syria,17.53
1898,Damascus,Syria,18.11
1899,Damascus,Syria,18.26
1900,Damascus,Syria,18.62
1901,Damascus,Syria,19.08
1902,Damascus,Syria,18.70
1903,Damascus,Syria,17.93
1904,Damascus,Syria,17.92
1905,Damascus,Syria,17.91
1906,Damascus,Syria,18.19
1907,Damascus,Syria,17.52
1908,Damascus,Syria,17.66
1909,Damascus,Syria,18.72
1910,Damascus,Syria,17.81
1911,Damascus,Syria,17.41
1912,Damascus,Syria,18.09
1913,Damascus,Syria,17.65
1914,Damascus,Syria,17.80
1915,Damascus,Syria,18.46
1916,Damascus,Syria,18.68
1917,Damascus,Syria,18.52
1918,Damascus,Syria,18.11
1919,Damascus,Syria,18.44
1920,Damascus,Syria,17.67
1921,Damascus,Syria,17.74
1922,Damascus,Syria,18.64
1923,Damascus,Syria,18.76
1924,Damascus,Syria,18.57
1925,Damascus,Syria,18.52
1926,Damascus,Syria,18.52
1927,Damascus,Syria,18.73
1928,Damascus,Syria,18.94
1929,Damascus,Syria,18.44
1930,Damascus,Syria,18.98
1931,Damascus,Syria,18.68
1932,Damascus,Syria,18.56
1933,Damascus,Syria,18.05
1934,Damascus,Syria,18.69
1935,Damascus,Syria,19.14
1936,Damascus,Syria,18.93
1937,Damascus,Syria,19.13
1938,Damascus,Syria,18.26
1939,Damascus,Syria,18.95
1940,Damascus,Syria,18.79
1941,Damascus,Syria,19.06
1942,Damascus,Syria,18.64
1943,Damascus,Syria,18.26
1944,Damascus,Syria,18.47
1945,Damascus,Syria,18.13
1946,Damascus,Syria,18.75
1947,Damascus,Syria,19.44
1948,Damascus,Syria,18.00
1949,Damascus,Syria,17.70
1950,Damascus,Syria,18.50
1951,Damascus,Syria,18.95
1952,Damascus,Syria,19.06
1953,Damascus,Syria,17.95
1954,Damascus,Syria,18.81
1955,Damascus,Syria,19.35
1956,Damascus,Syria,18.53
1957,Damascus,Syria,18.58
1958,Damascus,Syria,19.04
1959,Damascus,Syria,17.99
1960,Damascus,Syria,19.59
1961,Damascus,Syria,18.41
1962,Damascus,Syria,19.52
1963,Damascus,Syria,19.33
1964,Damascus,Syria,18.05
1965,Damascus,Syria,18.69
1966,Damascus,Syria,19.26
1967,Damascus,Syria,17.80
1968,Damascus,Syria,18.78
1969,Damascus,Syria,19.01
1970,Damascus,Syria,18.88
1971,Damascus,Syria,18.35
1972,Damascus,Syria,18.18
1973,Damascus,Syria,18.52
1974,Damascus,Syria,18.45
1975,Damascus,Syria,18.39
1976,Damascus,Syria,18.24
1977,Damascus,Syria,18.61
1978,Damascus,Syria,18.90
1979,Damascus,Syria,19.33
1980,Damascus,Syria,18.65
1981,Damascus,Syria,18.80
1982,Damascus,Syria,18.12
1983,Damascus,Syria,17.99
1984,Damascus,Syria,18.49
1985,Damascus,Syria,18.99
1986,Damascus,Syria,18.73
1987,Damascus,Syria,18.64
1988,Damascus,Syria,18.77
1989,Damascus,Syria,18.73
1990,Damascus,Syria,18.90
1991,Damascus,Syria,18.83
1992,Damascus,Syria,17.73
1993,Damascus,Syria,18.72
1994,Damascus,Syria,19.34
1995,Damascus,Syria,18.79
1996,Damascus,Syria,19.23
1997,Damascus,Syria,18.55
1998,Damascus,Syria,19.73
1999,Damascus,Syria,19.73
2000,Damascus,Syria,19.09
2001,Damascus,Syria,19.75
2002,Damascus,Syria,19.47
2003,Damascus,Syria,19.30
2004,Damascus,Syria,19.22
2005,Damascus,Syria,19.15
2006,Damascus,Syria,19.07
2007,Damascus,Syria,19.47
2008,Damascus,Syria,19.75
2009,Damascus,Syria,19.60
2010,Damascus,Syria,21.07
2011,Damascus,Syria,18.95
2012,Damascus,Syria,19.72
2013,Damascus,Syria,19.83
